Rubber	Speed	Spin	Control	Tacky	Weight	SpongeHardness	Gears	ThrowAngle	Consistency	Durable	Overall	Ratings	Price
JOOLA Energy 325	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	49
JOOLA Energy Green Power	9.0	8.5	8.1	1.5	3.1	3.4	7.9	5.1	7.1	4.7	9.0	16	54
JOOLA Energy Green Power X-Soft	8.2	8.4	8.6	2.0	2.6	0.4	7.5	3.4	10.0	4.8	8.9	7	44
JOOLA Energy X-tra (Green Power)	8.3	8.5	8.6	1.3	2.5	1.6	8.4	5.3	9.3	5.5	9.0	38	57
JOOLA Express One	9.4	8.8	8.4	2.3	3.7	6.8	7.1	3.6	8.3	6.4	9.3	40	55
JOOLA Express Two	8.6	9.0	8.8	2.2	3.6	3.6	8.2	4.8	8.6	6.2	9.0	23	65
JOOLA Express Ultra	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	55
JOOLA Express X-plode	9.2	8.8	8.2	4.5	5.5	6.5	7.5	5.5	8.6	5.3	9.0	14	54
JOOLA Express X-Soft	7.7	8.3	8.3	0.9	2.3	0.4	5.3	6.3	10.0	4.8	7.9	7	52
JOOLA Fiesta	5.0	5.0	8.0	0.0	2.0	3.0	7.0	2.0	10.0	10.0	6.0	1	0
JOOLA Golden Tango PS	8.9	9.4	9.1	5.0	8.0	8.5	7.0	7.0	10.0	7.0	9.4	2	45
JOOLA Laser	7.0	9.0	8.5	0.0	4.0	3.0	7.0	6.0	(not rated)	(not rated)	(not rated)	1	0
JOOLA Mambo	8.1	8.1	8.2	2.4	2.9	4.3	5.8	4.2	7.5	7.4	8.0	13	37
JOOLA Mambo C	9.2	8.6	8.7	3.4	3.7	7.1	8.3	5.7	8.3	7.2	9.1	9	35
JOOLA Mambo GP	8.7	7.8	7.1	0.8	3.4	2.9	4.9	4.0	8.6	6.6	8.3	8	48
JOOLA Mambo H	8.1	9.0	8.9	4.2	3.8	5.3	7.6	5.8	9.7	8.1	9.0	23	38
JOOLA Mambo H Tuning	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	47
JOOLA Mambo Tuning	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	47
JOOLA Maxxx 400	9.2	9.3	9.3	3.3	4.3	3.0	9.0	5.7	10.0	9.3	9.2	8	59
JOOLA Maxxx 450	9.1	9.1	9.2	0.6	5.6	5.4	9.3	5.3	10.0	7.9	9.3	12	60
JOOLA Maxxx 500	9.4	9.3	9.2	2.5	6.4	8.4	8.3	7.3	9.2	7.5	9.4	16	41
JOOLA MAXXX-P	9.2	9.4	9.4	2.4	4.3	4.9	8.7	4.9	9.3	9.4	9.5	24	46
JOOLA Moskito	(not rated)	(not rated)	(not rated)	(not rated)	2.0	(not rated)	7.0	6.0	0.0	5.0	5.0	1	30
JOOLA Moskito M40	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	30
JOOLA Moskito S35	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	30
JOOLA Novic	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	39
JOOLA Orbit ICU	8.5	8.0	7.0	0.0	(not rated)	7.0	(not rated)	8.0	10.0	(not rated)	8.0	1	33
JOOLA Phenix (Phoenix)	9.2	8.3	7.7	2.5	2.9	5.5	6.3	3.6	10.0	5.3	9.1	14	45
JOOLA Phenix 48	8.8	8.0	8.5	1.0	4.0	7.5	7.0	4.0	7.5	6.0	8.5	2	59
JOOLA Rhyzer 43	9.0	9.3	8.8	0.0	7.0	5.0	8.5	5.0	7.5	7.0	9.0	3	58
JOOLA Rhyzer 48	9.1	9.1	8.4	0.4	6.0	6.2	8.8	5.6	8.0	5.4	9.1	6	58
JOOLA Rhyzer Pro 50	9.7	9.7	9.3	0.0	4.0	9.0	9.0	6.0	7.5	6.0	9.6	3	58
JOOLA Rhyzm	9.1	9.1	8.7	2.3	5.9	6.7	8.6	4.8	8.5	7.8	9.2	34	65
JOOLA Rhyzm 375	9.2	9.3	8.2	5.0	3.3	2.7	10.0	6.7	6.7	7.3	8.7	4	64
JOOLA Rhyzm 425	8.8	9.1	9.0	2.5	4.0	4.9	8.7	5.8	9.3	7.8	9.1	9	65
JOOLA Rhyzm Tech	9.0	9.3	8.7	3.3	5.1	5.3	7.8	5.8	10.0	5.7	8.8	8	65
JOOLA Rhyzm-P	9.2	9.4	9.4	2.7	4.3	5.9	9.0	5.6	9.6	8.9	9.4	38	46
JOOLA Samba	7.7	8.7	9.0	2.4	3.2	0.6	7.0	5.4	8.1	6.9	8.5	11	38
JOOLA Samba 19	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	55
JOOLA Samba 27	9.3	6.0	9.8	2.0	(not rated)	7.0	10.0	4.0	10.0	3.0	9.5	1	55
JOOLA Samba Klick	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	45
JOOLA Samba NTEC	7.8	7.1	7.3	1.5	2.7	3.0	7.0	4.3	7.5	6.8	7.4	7	43
JOOLA Samba Tech	9.3	9.1	9.0	2.0	4.0	2.3	7.5	5.7	7.5	6.4	9.2	7	65
JOOLA Samba+	7.6	8.4	8.4	1.8	2.7	1.6	6.0	6.2	9.4	6.6	8.1	15	55
JOOLA Smart	6.7	6.7	8.6	4.3	6.0	6.6	4.8	4.0	8.3	6.7	6.9	5	30
JOOLA Spring Thunder	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	8.0	1	18
JOOLA Tango	8.0	8.0	8.1	0.0	2.0	3.0	4.0	5.0	5.0	4.0	8.0	2	40
JOOLA Tango Defensive	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	33
JOOLA Tango Extrem	8.7	8.2	6.5	4.1	4.0	4.1	7.3	3.5	10.0	6.3	8.8	10	42
JOOLA Tango Golden	8.5	9.3	8.9	5.0	4.0	10.0	10.0	4.0	10.0	7.0	8.8	2	50
JOOLA Tango Ultra	9.0	7.0	6.0	0.0	4.0	3.0	10.0	4.0	5.0	5.0	8.0	1	36
JOOLA Terminator	9.0	7.0	7.0	0.0	4.0	7.0	4.0	2.0	5.0	5.0	7.0	1	45
JOOLA Timeless (Anti-spin)	4.1	2.9	9.0	0.0	3.0	1.0	6.0	3.3	7.5	2.3	8.0	6	29
JOOLA Toni Hold Anti Topspin	6.3	5.3	7.9	4.0	2.0	8.3	5.0	4.7	8.3	10.0	8.9	3	48
JOOLA Topspin	7.0	8.5	8.9	3.5	4.0	4.0	2.5	8.0	10.0	10.0	8.1	3	27
JOOLA Topspin C	6.2	9.3	9.1	7.2	3.6	3.3	5.0	4.0	10.0	7.0	8.4	9	27
JOOLA Turbo	6.0	6.0	7.0	2.0	4.0	7.5	7.0	4.0	(not rated)	5.0	(not rated)	2	27
JOOLA Upp	7.8	7.8	8.9	5.3	4.0	4.0	5.0	8.0	5.0	4.0	7.9	4	29
JOOLA X-Plode	8.9	8.4	7.7	4.3	4.8	6.0	8.8	6.7	6.7	6.2	8.8	6	55
JOOLA X-Plode Sensitive	8.5	8.7	8.7	2.1	3.8	4.2	7.8	5.2	8.5	6.7	9.1	27	60
JOOLA Zack	8.1	8.5	9.0	2.3	4.0	4.5	7.8	5.0	8.8	8.0	8.7	4	45
Juic 999 Attack	8.0	8.8	8.1	6.0	5.3	5.7	8.0	4.7	6.7	7.0	8.8	3	31
Juic 999 Defence	6.2	9.6	8.6	10.0	4.0	3.0	10.0	4.0	10.0	7.0	9.2	1	31
Juic 999 Elite	7.9	9.2	7.8	6.7	4.3	4.5	5.0	5.3	8.3	7.8	8.3	7	35
Juic 999 Elite Charisma	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	35
Juic 999 Elite Defense	5.8	9.4	8.9	5.5	3.6	1.7	4.6	3.7	8.0	5.0	9.1	6	36
Juic 999 Elite Hard Type	7.5	8.5	7.5	2.0	6.0	10.0	4.0	6.0	(not rated)	7.0	8.0	1	31
Juic 999 Elite Nano	8.0	9.5	8.0	3.5	2.0	4.3	6.3	4.0	6.7	4.0	7.7	4	32
Juic 999 Elite Ultima	8.4	9.1	8.3	5.9	2.3	3.9	6.6	2.9	7.9	5.0	8.4	7	33
Juic 999 Elite Ultima SV	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	38
Juic 999 Hard Type	8.4	9.0	7.5	8.0	6.0	7.0	4.0	6.0	10.0	5.0	8.2	1	31
Juic 999 Turbo	8.3	9.4	8.9	8.0	5.5	6.5	7.8	4.0	10.0	8.5	9.2	4	40
Juic Aircondle	8.7	7.8	6.5	1.0	5.0	6.0	7.0	2.7	10.0	5.0	7.8	3	48
Juic Aircondle Sound	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	46
Juic Aircondle Speed	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	46
Juic Couga	9.3	7.1	8.1	0.5	4.5	5.5	5.5	2.5	10.0	8.5	8.0	4	33
Juic Dany III	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	21
Juic Driva Smash	8.6	8.3	8.3	2.0	3.0	5.0	8.5	2.0	7.5	7.0	9.0	2	30
Juic Driva Smash Ultima	8.4	8.8	8.3	1.0	2.0	2.5	8.5	3.0	10.0	5.0	8.9	2	35
Juic Nano Spin	9.2	8.6	8.7	2.3	2.7	5.7	8.0	5.3	10.0	6.3	8.9	3	54
Juic Nano Spin Charisma	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	40
Juic Nano Spin Flex	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	37
Juic Nano Spin II	9.1	9.1	8.6	0.0	4.0	5.0	(not rated)	4.0	10.0	10.0	9.3	2	55
Juic Nano Spin II +S	8.0	8.5	8.5	0.0	4.0	5.0	4.0	4.0	5.0	5.0	8.2	1	37
Juic Nano Spin II Charisma	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	38
Juic Nanocannon	8.8	8.3	7.3	4.8	4.0	6.0	5.8	3.6	7.5	6.2	8.2	6	35
Juic Neo Anti (Anti-spin)	4.3	3.5	9.1	0.4	3.8	1.1	7.0	2.9	9.4	9.6	9.2	10	32
Juic Scramble	8.3	7.4	8.0	1.0	4.0	4.0	8.5	3.0	10.0	7.5	8.4	2	34
Juic Scramble 21	8.3	8.0	8.0	2.3	4.0	5.0	8.0	3.3	8.3	7.3	8.2	3	33
Juic Scramble 21 Ultima	9.0	7.8	8.0	2.0	3.0	4.0	4.0	3.0	7.5	7.0	8.6	2	27
Juic Shenron	9.0	9.1	9.0	3.8	4.0	3.5	7.8	4.7	7.5	6.0	8.2	5	40
Juic Spark	6.5	6.0	9.0	2.0	2.0	5.0	10.0	2.0	5.0	10.0	7.9	1	21
Juic Spin Spiel SV	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	36
Juic Spin Spiel Ultima	8.2	9.0	8.7	8.0	6.0	5.3	9.0	5.3	6.7	6.3	8.6	3	33
Juic SpinSpiel	7.9	9.3	8.2	9.6	5.2	4.4	7.0	4.8	9.0	6.2	8.5	5	31
Juic T+FV	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	38
Juic T+PV	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	38
Juic Varites	8.7	7.8	7.1	1.8	4.8	6.6	4.6	4.0	8.8	6.8	8.5	6	40
Killerspin 415	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	36
Killerspin Blast	9.8	6.8	5.5	1.3	4.0	5.3	6.0	8.0	8.3	6.7	7.5	3	50
Killerspin Fortissimo	9.5	9.1	8.9	2.7	4.1	4.5	8.7	3.5	9.8	8.9	9.5	28	52
Killerspin Forza	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	23
Killerspin Forza 4z	7.8	7.8	7.8	2.5	7.0	2.5	8.5	9.0	5.0	5.0	10.0	2	36
Killerspin Fury	9.6	7.8	6.7	0.0	6.0	7.0	7.0	6.0	10.0	5.0	8.5	2	32
Killerspin GT	7.5	9.0	9.5	9.0	5.0	5.0	5.5	6.0	10.0	7.0	9.0	2	36
Killerspin GT2	7.0	9.5	6.0	10.0	6.0	7.0	7.0	6.0	10.0	7.0	(not rated)	2	30
Killerspin Nitrx	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	23
Killerspin Nitrx 4z	8.6	8.2	7.9	3.1	5.1	6.5	5.7	3.5	7.9	7.3	8.2	8	23
Killerspin Nitrx 5z	9.4	9.2	8.8	3.5	5.0	5.0	10.0	4.0	7.5	5.0	9.3	2	36
Kokutaku 007	7.8	9.0	8.2	9.5	7.0	7.0	5.5	4.0	6.7	8.0	8.7	6	10
Kokutaku 007 Inner Power	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	22
Kokutaku 007 Japanese Sponge	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	3.0	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	1	20
Kokutaku 007 Super Light	6.5	9.5	8.5	8.0	0.0	0.0	1.0	8.0	(not rated)	(not rated)	7.0	1	13
Kokutaku 868	8.2	8.1	8.6	5.6	3.3	4.0	6.0	4.0	8.3	7.6	8.3	12	10
Kokutaku 868 (1 Pair Black Packaging)	7.7	8.1	9.0	2.0	4.0	3.0	4.0	4.0	10.0	5.0	8.0	1	10
Kokutaku 868 40+	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	10
Kokutaku 868 Defence	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	20
Kokutaku 868 Spin Power	8.5	9.5	9.5	8.0	4.0	7.0	7.0	6.0	10.0	7.0	(not rated)	1	18
Kokutaku 868 Training Rubber	7.8	8.5	9.3	5.0	5.3	6.4	5.0	5.6	6.0	7.8	8.9	9	6
Kokutaku Blutenkirsche 868 Tokyo	8.5	8.2	8.5	1.1	3.3	3.9	5.7	4.2	9.0	6.6	8.4	10	12
Kokutaku Blutenkirsche 868 Tokyo Super Tacky (yellow Pack)	6.0	6.2	8.7	8.5	2.5	0.8	2.0	3.0	(not rated)	7.5	7.3	4	13
Kokutaku BLutenkirsche 868 Tokyo Super Tacky Japanese 	7.5	8.8	8.5	7.6	4.8	6.0	6.6	7.7	7.0	5.6	8.3	9	10
Kokutaku Blutenkirssche Blue Sponge	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	14
Kokutaku Explosion Blutenkirsche 868	8.0	9.0	8.2	7.4	6.7	6.2	6.3	6.0	6.0	6.3	8.0	8	14
Kokutaku Spec V	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	41
Kokutaku Synchron	8.0	8.0	8.5	8.0	6.0	5.0	(not rated)	4.0	(not rated)	(not rated)	(not rated)	1	20
Kokutaku Tokyo 868	8.2	8.9	8.5	7.6	3.4	4.7	4.4	3.4	8.8	4.6	8.3	8	10
Kokutaku Tulpe 007 Chinese Sponge	8.6	8.9	8.5	8.0	4.0	7.0	4.0	6.0	5.0	5.0	8.7	1	13
Kokutaku Tuple 007 Non-Tacky	9.0	8.7	9.3	0.7	6.7	5.7	6.0	4.0	5.0	7.0	8.9	4	20
Kokutaku Tuple 007 Tacky	9.0	9.0	9.0	8.0	5.0	5.0	4.0	4.0	10.0	10.0	9.0	2	20
Kokutaku Tuple 007 Taiwan	8.0	8.0	8.5	8.0	2.0	3.0	10.0	6.0	(not rated)	3.0	8.0	1	5
KTL (LKT) Black Power	8.3	7.8	8.0	3.3	5.2	7.0	6.7	2.7	6.7	5.8	8.2	12	14
KTL (LKT) Black Power (Golden Cake Sponge)	8.1	7.6	8.3	6.3	5.3	7.8	2.5	4.0	5.0	3.3	7.5	4	14
KTL (LKT) Golden Star Attack	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	22
KTL (LKT) Golden Star HS Drive	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	22
KTL (LKT) Golden Star Loop	8.0	8.1	8.6	0.4	4.4	5.0	5.8	4.0	8.8	7.0	8.3	5	22
KTL (LKT) Pro XP	7.5	8.7	9.1	4.9	2.5	1.9	5.1	5.2	8.2	7.1	8.8	37	14
KTL (LKT) Pro XP Gold Dragon	7.7	7.5	8.6	0.4	3.5	5.4	4.6	3.5	(not rated)	3.3	7.0	6	8
KTL (LKT) Pro XP Red Dragon	8.4	8.6	8.8	2.0	2.0	4.3	8.5	6.0	10.0	7.0	8.5	3	17
KTL (LKT) Pro XT	7.4	8.7	8.8	6.9	2.1	2.4	5.6	5.9	7.9	6.1	8.3	35	14
KTL (LKT) Pro XT Green Dragon	8.9	8.9	9.0	2.0	2.0	5.0	7.0	6.0	10.0	(not rated)	(not rated)	1	17
KTL (LKT) Pro XT Silver Dragon	8.9	8.8	8.6	6.5	5.6	6.1	7.9	5.3	8.8	6.5	9.1	19	20
KTL (LKT) Rapid Power	7.4	7.7	8.1	2.6	6.0	5.8	6.0	4.0	5.0	5.0	8.3	5	14
KTL (LKT) Rapid Soft	7.3	8.3	8.6	4.5	2.3	1.3	4.2	4.1	8.9	7.0	8.5	18	11
KTL (LKT) Rapid Sound	7.7	8.4	8.7	2.9	3.2	3.6	5.2	4.2	8.3	7.6	8.6	13	14
KTL (LKT) Rapid Speed	8.5	8.5	8.5	3.2	4.4	5.8	6.9	3.3	9.0	7.9	8.7	53	14
KTL (LKT) Red Diamond	8.6	8.9	8.7	5.3	5.7	6.5	8.4	4.5	8.1	6.3	9.1	28	14
KTL (LKT) Red Diamond (Golden Cake Sponge)	8.0	8.3	8.6	6.0	4.3	5.8	7.0	4.0	9.2	3.5	7.7	11	14
KTL (LKT) Red Diamond Mechanical	9.0	9.0	9.0	2.0	4.0	5.0	4.0	4.0	10.0	5.0	8.5	3	22
KTL (LKT) Torrent	7.4	8.3	8.2	4.9	3.9	3.3	4.2	3.6	5.5	5.9	8.0	16	14
KTL (LKT) Torrent Gold	7.7	8.8	8.0	8.0	6.7	3.0	5.5	4.0	10.0	7.0	7.8	3	14
Lion Aggressor	8.5	7.0	9.0	0.0	2.0	0.0	(not rated)	2.0	(not rated)	(not rated)	9.0	1	11
Lion Mantlet	4.0	3.0	9.5	0.5	2.5	7.5	8.5	5.5	10.0	10.0	9.4	4	15
Lion Radiant	8.6	8.6	9.2	4.0	5.3	5.0	5.0	5.3	6.7	5.7	8.4	4	15
Lion Rebirth	9.0	(not rated)	9.0	2.0	0.0	5.0	10.0	3.0	(not rated)	10.0	10.0	2	20
Lion Roar	8.8	8.7	9.7	1.0	4.0	7.0	10.0	7.0	10.0	10.0	9.0	3	15
Lion Trapper	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	32
Loki GTX Pro	8.0	7.0	8.0	8.0	4.0	5.0	4.0	2.0	0.0	5.0	7.0	1	26
Loki N80	8.0	8.0	8.0	8.0	4.0	5.0	4.0	4.0	5.0	5.0	7.0	1	26
Loki RXTON 5	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	1	15
Loki RXTON5	9.0	9.4	9.2	5.0	6.0	7.0	7.0	2.0	10.0	10.0	10.0	1	15
Meteor 835 (Non Tacky)	7.0	7.0	9.0	0.0	8.0	5.0	1.0	0.0	(not rated)	(not rated)	8.5	1	8
Meteor 835-W	7.0	7.0	8.0	0.0	8.0	5.0	7.0	0.0	5.0	3.0	7.0	1	14
Mizuno Charge	9.8	8.8	7.0	0.0	4.0	5.0	7.0	6.0	10.0	7.0	8.0	1	42
Mizuno Charge MF	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	42
Mizuno Charge Pro	6.0	8.0	5.0	10.0	10.0	10.0	4.0	4.0	0.0	7.0	7.0	1	42
Mizuno Charge SS	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	44
Mizuno GF Pro	9.3	9.1	8.3	2.0	5.5	7.0	6.0	5.3	10.0	7.3	9.2	4	50
Mizuno GF R	7.8	8.2	9.6	2.0	0.0	0.0	4.0	6.0	10.0	10.0	9.6	1	38
Mizuno GF T40	7.5	8.0	9.0	8.0	4.0	7.0	4.0	8.0	10.0	5.0	8.0	1	44
Mizuno GF T45	9.4	9.2	9.1	1.8	6.0	5.8	7.6	5.3	8.8	8.3	9.1	5	44
Mizuno GF T48	9.2	9.1	8.3	2.3	4.0	8.5	7.0	6.5	10.0	7.8	8.9	4	44
Mizuno Plaudit	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	51
Mizuno Q3	9.5	9.3	9.0	2.3	5.5	7.0	7.0	5.5	10.0	7.3	9.2	4	60
Mizuno Q4	8.7	9.0	8.9	2.0	6.0	7.0	5.5	6.7	5.0	6.7	8.9	3	60
Mizuno Unison	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	25
Neottec Hinomi-M	7.5	7.8	9.0	1.0	3.0	1.5	5.5	4.0	10.0	5.0	8.5	2	18
Neottec Hinomi-S	6.5	7.8	7.5	0.0	2.0	0.0	4.0	6.0	(not rated)	(not rated)	(not rated)	1	18
Neottec Iken Pro	4.0	3.0	4.0	0.0	2.0	0.0	1.0	0.0	(not rated)	5.0	1.0	2	15
Neottec Katana	8.5	8.5	8.5	6.5	3.0	3.0	10.0	4.0	7.5	7.0	8.8	3	18
Nexy Demian	8.0	8.0	9.5	2.0	6.0	7.0	7.0	4.0	10.0	7.0	8.0	1	12
Nexy Karis H	8.0	9.0	10.0	0.0	8.0	10.0	10.0	(not rated)	10.0	10.0	8.0	1	50
Nexy Karis M	8.1	8.1	8.6	1.0	5.5	5.0	6.0	5.5	8.3	6.0	8.0	4	50
Nexy Karis M+	7.5	8.2	8.3	1.3	4.0	5.0	4.0	4.0	5.0	7.3	7.8	3	50
Nittaku Alhelg	9.0	9.0	9.0	2.4	5.2	4.9	7.7	5.4	8.6	6.8	8.6	13	45
Nittaku Alhelg SC	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	60
Nittaku Alhelg SR	9.3	9.6	9.2	4.3	5.7	7.0	9.6	5.0	9.4	8.9	9.5	9	60
Nittaku Annsort	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Nittaku Arufeel	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	29
Nittaku Best Anti (Anti-spin)	3.8	2.3	9.5	0.0	3.0	2.8	4.8	2.5	7.5	8.4	8.0	7	24
Nittaku DHS Hurricane 2	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Nittaku DHS Hurricane 3	8.2	9.3	8.8	7.8	6.6	7.6	8.7	7.4	7.5	5.0	8.9	8	50
Nittaku Factive	8.7	8.7	9.0	2.0	2.7	5.0	7.5	5.7	10.0	8.2	8.9	6	28
Nittaku Fastarc C-1	8.7	8.8	9.1	1.8	4.0	4.2	7.5	5.2	9.0	7.3	9.0	14	55
Nittaku Fastarc G-1	9.1	9.5	9.1	3.0	5.4	6.5	9.4	6.2	9.6	8.9	9.4	67	55
Nittaku Fastarc P-1	9.4	9.5	9.2	2.9	5.7	5.4	9.0	6.2	8.8	9.2	9.5	20	55
Nittaku Fastarc S-1	9.2	9.0	9.1	2.0	3.3	4.4	8.7	5.4	9.3	8.4	9.4	56	42
Nittaku Flyatt Hard	9.0	8.8	8.6	2.8	3.5	6.4	7.8	4.4	8.8	8.8	9.0	18	46
Nittaku Flyatt Soft	8.4	7.8	8.7	0.3	2.4	2.0	6.5	3.3	10.0	7.3	8.2	7	31
Nittaku Flyatt Spin	8.9	9.2	9.2	2.1	3.7	4.1	8.7	4.6	10.0	9.1	9.3	7	33
Nittaku G888 CS	8.0	7.5	5.0	5.0	6.0	5.0	4.0	6.0	5.0	7.0	8.0	1	36
Nittaku G888 JS	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	36
Nittaku Galze	8.9	9.2	9.1	1.4	4.2	5.8	9.3	4.3	10.0	8.4	9.5	9	55
Nittaku Goriki Kaisoku	9.5	9.2	8.9	2.0	5.5	6.0	8.5	4.0	10.0	10.0	9.3	4	38
Nittaku Hammond	9.0	8.3	7.9	0.8	2.4	2.9	6.4	2.2	7.0	6.4	8.6	12	38
Nittaku Hammond Power	8.6	8.3	8.8	1.0	8.0	7.0	10.0	5.0	(not rated)	(not rated)	7.9	2	43
Nittaku Hammond Pro Alpha	9.2	7.2	7.3	1.8	3.8	4.0	6.2	2.6	9.0	5.7	8.1	12	38
Nittaku Hammond Pro Beta	9.0	8.8	9.2	1.9	2.2	3.2	8.3	2.5	9.8	8.8	9.3	43	49
Nittaku Hammond X	8.9	8.7	8.1	3.1	4.0	5.0	5.3	2.0	8.9	7.4	8.8	10	43
Nittaku Hurricane 2 (H2)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	1	39
