종목	코드	현재가	시가총액	PER	E_PER	PBR	ROE	배당수익률
현대상사	011760	14050	1,905	11.65	8.00	0.54	6.80	4.17
일양약품	007570	32750	6,394	65.56		3.17	5.20	0.36
메이슨캐피탈	021880	419	416			1.10	-9.25	
진흥기업	002780	2050	2,989	20.35		3.03	23.08	
흥국	010240	4240	522	6.37		0.75	10.85	3.54
아가방컴퍼니	013990	3215	1,064			0.79	-11.05	
삼목에스폼	018310	7080	1,055	7.70		0.26	4.07	1.39
신성통상	005390	1275	1,911			0.82	2.26	
이테크건설	016250	98200	2,699	13.92		0.85	6.68	1.56
녹십자	006280	146500	17,179		56.00	1.63	2.89	0.68
삼호	001880	20000	3,127	2.63		0.62	23.04	1.94
삼화왕관	004450	40000	871	10.44		0.51		3.34
삼성전기	009150	120000	91,500	18.40	20.00	1.73	8.59	0.90
삼화페인트	000390	4960	1,319	26.68		0.40	1.34	2.51
LG	003550	63300	110437	9.23	8.00	0.59	7.67	3.44
금호석유	011780	71100	21,998	7.85	8.00	0.76	11.63	2.08
동방아그로	007590	6270	855	19.87		0.51	4.79	3.98
금호전기	001210	3380	346			1.13	-80.13	
포스코 ICT	022100	4845	7,457	18.23	16.00	2.05	12.43	1.02
아모레G	002790	54500	45,599	49.86	47.00	1.51	3.34	0.54
쌍용정보통신	010280	1485	599	46.25		1.35	2.96	
메디앙스	014100	4195	495	1.24		0.59	60.48	
조일알미늄	018470	585	403			0.36	-51.10	
삼성증권	016360	28350	25,674	6.55	9.00	0.52	5.51	5.91
코스모화학	005420	9120	2,420			1.73	-12.16	
KISCO홀딩스	001940	11000	2,097	4.97		0.21	5.58	2.47
대원전선	006340	1035	719			0.92	-1.01	
세방전지	004490	29200	4,200	5.86		0.38	7.70	1.67
SIMPAC	009160	2560	1,688	17.79		0.35	2.17	2.33
롯데손해보험	000400	1690	5,307			0.55	10.87	
IHQ	003560	1585	2,340			1.76	-39.04	
SKC	011790	54600	21,620	36.20	13.00	1.31	9.79	1.74
정산애강	022220	1725	901	8.74		1.08	14.90	
신신제약	002800	7510	1,130	54.38		1.99	3.85	0.38
선도전기	007610	2645	478			0.61	-2.52	0.94
한익스프레스	014130	4770	581	8.44		0.81	8.30	1.45
